epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,10844,1.02834,0.42062,0.96843,0.94023,0.92253,0.95818,0.69361,1.02314,0.3902,0.99463,0.000794038,0.000794038,0.000794038
59,11002.4,1.02412,0.41629,0.96674,0.93878,0.92206,0.95777,0.69241,1.02395,0.39027,0.99519,0.000763797,0.000763797,0.000763797
60,11201.5,1.02154,0.41591,0.96557,0.94056,0.92265,0.95833,0.69483,1.02313,0.38811,0.99446,0.000733799,0.000733799,0.000733799
61,11379.3,1.02669,0.41829,0.96828,0.93914,0.92499,0.95843,0.69524,1.0215,0.38789,0.9936,0.000704073,0.000704073,0.000704073
62,11589.1,1.02371,0.41596,0.96834,0.93767,0.92464,0.95677,0.69498,1.02253,0.38708,0.99421,0.000674649,0.000674649,0.000674649
63,11750.1,1.01853,0.41358,0.96533,0.93854,0.924,0.95702,0.69585,1.02258,0.38627,0.99431,0.000645557,0.000645557,0.000645557
64,11966.2,1.01391,0.41162,0.96173,0.93723,0.92289,0.95641,0.69523,1.02196,0.38705,0.99461,0.000616824,0.000616824,0.000616824
65,12216.5,1.01755,0.41201,0.96464,0.93801,0.92344,0.95639,0.69514,1.01945,0.38609,0.99373,0.000588479,0.000588479,0.000588479
66,12410.1,1.01488,0.41075,0.96381,0.9384,0.92438,0.95666,0.69497,1.01963,0.38559,0.99374,0.000560549,0.000560549,0.000560549
67,12570.6,1.02151,0.41324,0.96534,0.93842,0.92528,0.95693,0.69496,1.0203,0.38451,0.99383,0.000533064,0.000533064,0.000533064
68,12858,1.01352,0.40826,0.96386,0.93942,0.92578,0.95828,0.69544,1.0191,0.3838,0.99294,0.000506049,0.000506049,0.000506049
69,13017.9,1.00925,0.40822,0.96249,0.93946,0.92701,0.95877,0.69584,1.01926,0.38291,0.99301,0.000479531,0.000479531,0.000479531
70,13232.6,1.00306,0.40593,0.9606,0.94066,0.92634,0.95904,0.69601,1.01824,0.38264,0.99289,0.000453537,0.000453537,0.000453537
71,13393.6,1.01492,0.40873,0.96373,0.94221,0.92653,0.95925,0.69653,1.01724,0.38208,0.99254,0.000428093,0.000428093,0.000428093
72,13608.6,1.00274,0.40392,0.96011,0.94216,0.92662,0.95916,0.69712,1.01627,0.38146,0.99194,0.000403222,0.000403222,0.000403222
73,13769.7,1.00369,0.40357,0.95935,0.94185,0.92628,0.95915,0.69714,1.01614,0.38159,0.99169,0.00037895,0.00037895,0.00037895
74,13957.3,0.99565,0.40077,0.96005,0.9419,0.92643,0.95927,0.69742,1.01733,0.38206,0.9921,0.000355301,0.000355301,0.000355301
75,14113.3,1.00217,0.40328,0.96013,0.942,0.92579,0.95869,0.69693,1.01899,0.38225,0.99261,0.000332298,0.000332298,0.000332298
76,14278.3,0.99987,0.40112,0.9564,0.94097,0.92573,0.95869,0.69728,1.01825,0.38239,0.9923,0.000309964,0.000309964,0.000309964
77,14585.8,0.9929,0.39812,0.95705,0.93995,0.92746,0.9592,0.69744,1.01759,0.38195,0.99197,0.000288321,0.000288321,0.000288321
78,14806.6,0.99191,0.39805,0.95781,0.94044,0.92727,0.95914,0.6977,1.01699,0.38184,0.99173,0.00026739,0.00026739,0.00026739
79,14967,0.99463,0.40035,0.95671,0.93964,0.92738,0.9592,0.69767,1.01645,0.38212,0.99156,0.000247192,0.000247192,0.000247192
80,15136.5,0.99165,0.3974,0.95764,0.93945,0.92739,0.95927,0.69735,1.01698,0.38231,0.99166,0.000227747,0.000227747,0.000227747
81,15296.7,0.98858,0.39687,0.95565,0.93943,0.92709,0.95914,0.69761,1.01601,0.38228,0.99154,0.000209073,0.000209073,0.000209073
82,15520.4,0.98885,0.39602,0.95691,0.9392,0.92715,0.95915,0.69749,1.01574,0.38235,0.99131,0.00019119,0.00019119,0.00019119
83,15680.1,0.98633,0.39437,0.95394,0.93948,0.92694,0.95908,0.69746,1.01622,0.38226,0.99137,0.000174115,0.000174115,0.000174115
84,15868.4,0.99039,0.39653,0.95353,0.9394,0.927,0.95893,0.69761,1.01596,0.38218,0.99128,0.000157865,0.000157865,0.000157865
85,16050.6,0.98716,0.39587,0.95446,0.93955,0.92713,0.95906,0.69774,1.01577,0.3821,0.99123,0.000142456,0.000142456,0.000142456
86,16253.8,0.98388,0.39373,0.95384,0.93927,0.92752,0.95915,0.69781,1.0155,0.38199,0.99104,0.000127904,0.000127904,0.000127904
87,16642.1,0.98167,0.3921,0.95345,0.93888,0.92798,0.95919,0.69809,1.01539,0.38192,0.99099,0.000114221,0.000114221,0.000114221
88,16857.8,0.98645,0.39377,0.95546,0.939,0.92774,0.95925,0.69801,1.01579,0.38188,0.99112,0.000101423,0.000101423,0.000101423
89,17018.2,0.97958,0.39054,0.95183,0.93937,0.92738,0.95922,0.69804,1.01593,0.38189,0.99115,8.95213e-05,8.95213e-05,8.95213e-05
90,17234.1,0.98121,0.39229,0.95457,0.93906,0.92752,0.95917,0.69777,1.01623,0.38199,0.99128,7.8528e-05,7.8528e-05,7.8528e-05
91,17404.5,0.99745,0.38842,0.97736,0.94003,0.92678,0.95896,0.6974,1.01649,0.38204,0.99142,6.8454e-05,6.8454e-05,6.8454e-05
92,17592.9,0.99017,0.38223,0.97724,0.94056,0.92637,0.95912,0.69738,1.01685,0.3821,0.99157,5.93093e-05,5.93093e-05,5.93093e-05
93,17750,0.98905,0.38197,0.97547,0.94091,0.92658,0.95919,0.69713,1.0174,0.38222,0.99176,5.11027e-05,5.11027e-05,5.11027e-05
94,17953.4,0.98907,0.38063,0.97374,0.94068,0.92672,0.95914,0.69713,1.01757,0.3822,0.9918,4.38424e-05,4.38424e-05,4.38424e-05
95,18111.6,0.98904,0.38146,0.97256,0.9411,0.92625,0.95923,0.69716,1.01772,0.38237,0.9918,3.75356e-05,3.75356e-05,3.75356e-05
96,18313.7,0.98788,0.38053,0.97477,0.94129,0.92606,0.95917,0.69734,1.01772,0.38228,0.99178,3.21885e-05,3.21885e-05,3.21885e-05
97,18471.3,0.98538,0.38073,0.97381,0.94155,0.92578,0.95923,0.6975,1.01773,0.38231,0.99175,2.78064e-05,2.78064e-05,2.78064e-05
98,18654.4,0.98544,0.37963,0.97205,0.94179,0.92558,0.95921,0.69751,1.01782,0.38239,0.99178,2.43937e-05,2.43937e-05,2.43937e-05
99,18810.9,0.98315,0.37884,0.97189,0.94202,0.92527,0.95918,0.69758,1.01764,0.38237,0.9917,2.19535e-05,2.19535e-05,2.19535e-05
100,19014.3,0.98612,0.37908,0.97243,0.94224,0.92516,0.95921,0.69765,1.01771,0.3824,0.9917,2.04885e-05,2.04885e-05,2.04885e-05
